ID," City, State",Bank Name,Press Release (PR),Closing Date,Approx. Asset (Millions),Approx. Deposit (Millions),Acquirer & Transaction
1," New York, NY",Signature Bank,PR-018-2023,12-Mar-23,110400,88600,"To protect depositors, the FDIC transferred all the deposits and substantially all of the assets of Signature Bank to Signature Bridge Bank, N.A., a full-service bank that will be operated by the FDIC as it markets the institution to potential bidders."
2," Santa Clara, CA",Silicon Valley Bank,PR-016-2023; PR-019-2023,10-Mar-23,209000,175400,"To protect depositors, on Monday, March 13, 2023, the FDIC transferred all the deposits, both insured and uninsured, of Silicon Valley Bank to Silicon Valley Bridge Bank, N.A. a full-service 'bridge bank' that will be operated by the FDIC as it markets the institution to potential bidders."
3," Almena, KS",Almena State Bank,PR-119-2020,23-Oct-20,70,68.7,Equity Bank has agreed to assume all deposits.
4," Fort Walton Beach, FL",First City Bank of Florida,PR-112-2020,16-Oct-20,134.7,131.4,"United Fidelity Bank, fsb has agreed to assume all deposits."
5," Barboursville, WV",First State Bank,PR-046-2020,3-Apr-20,152.4,139.5, MVB Bank has agreed to assume all deposits excluding certain brokered deposits.retain the remaining assets for later disposition.
6," Ericson, NE",Ericson State Bank,PR-011-2020,14-Feb-20,100.9,95.2,Farmers and Merchants Bank has agreed to assume all deposits.
7," Newark, NJ",City National Bank of New Jersey,PR-101-2019,1-Nov-19,120.6,111.2,Industrial Bank has agreed to assume all deposits.
8," Maumee, OH",Resolute Bank,PR-097-2019,25-Oct-19,27.1,26.2,Buckeye State Bank has agreed to assume all deposits.
9," Louisa, KY",Louisa Community Bank,PR-096-2019,25-Oct-19,29.7,26.5,Kentucky Farmers Bank Corporation has agreed to assume all deposits.
10," Cooper, TX",The Enloe State Bank,PR-046-2019,31-May-19,36.7,31.3,"Legend Bank, N.A. has agreed to assume the insured deposits."
11," Chicago, IL",Washington Federal Bank for Savings,PR-096-2017,15-Dec-17,166.3,144,Royal Savings Bank has agreed to assume the non-brokered insured deposits.
12," Argonia, KS",The Farmers and Merchants State Bank of Argonia,PR-080-2017,13-Oct-17,34.2,29.6,Conway Bank has agreed to assume all deposits.
13," Saint Elmo, IL",Fayette County Bank,PR-041-2017,26-May-17,34.4,34,"United Fidelity Bank, fsb has agreed to assume all deposits."
14," Milwaukee, WI, (d/b/a BestBank in Georgia & Michigan)",Guaranty Bank,PR-037-2017,5-May-17,1000,1000,First-Citizens Bank & Trust Company has agreed to assume all deposits.
15," New Orleans, LA",First NBC Bank,PR-034-2017,28-Apr-17,4740,3540,"Whitney Bank has agreed to assume the transactional deposits (approximately $1.6 billion), and to purchase approximately $1 billion of the failed bank's assets. The FDIC mailed checks for the time deposits (CDs and IRAs) and retained the remaining assets for later disposition."
16," Cottonwood Heights, UT",Proficio Bank,PR-019-2017,3-Mar-17,68.2,65,Cache Valley Bank has agreed to assume all deposits.
17," Chicago, IL",Seaway Bank and Trust Company,PR-009-2017,27-Jan-17,361.2,307.1,State Bank of Texas has agreed to assume all deposits.
18," Pennsville, NJ",Harvest Community Bank,PR-004-2017,13-Jan-17,126.4,123.8,First-Citizens Bank & Trust Company has agreed to assume all deposits.
19," Mulberry, AR",Allied Bank,PR-082-2016,23-Sep-16,66.3,64.7,Today's Bank has agreed to assume all deposits.
20," Woodbury, GA",The Woodbury Banking Company,PR-069-2016,19-Aug-16,21.4,21.1,United Bank has agreed to assume all deposits.
21," King of Prussia, PA",First CornerStone Bank,PR-038-2016,6-May-16,103.3,101,First-Citizens Bank & Trust Company has agreed to assume all deposits.
22," Memphis, TN",Trust Company Bank,PR-034-2016,29-Apr-16,20.7,20.3,The Bank of Fayette County has agreed to assume all deposits.
23," Milwaukee, WI",North Milwaukee State Bank,PR-020-2016,11-Mar-16,67.1,61.5,First-Citizens Bank & Trust Company has agreed to assume all deposits excluding certain brokered deposits.
24," Longview, WA",Hometown National Bank,PR-078-2015,2-Oct-15,4.9,4.7,Twin City Bank has agreed to assume all deposits.
25," Peachtree City, GA",The Bank of Georgia,PR-077-2015,2-Oct-15,294.2,280.7,Fidelity Bank has agreed to assume all deposits.
26," Denver, CO",Premier Bank,PR-060-2015,10-Jul-15,31.7,29.6,"United Fidelity Bank, fsb has agreed to assume all deposits."
27," Chicago, IL",Edgebrook Bank,PR-040-2015,8-May-15,90,90,Republic Bank of Chicago has agreed to assume all deposits.
28," San Juan, PR",Doral Bank,PR-024-2015,27-Feb-15,5900,4100,"Banco Popular de Puerto Rico, Hato Rey, PR has agreed to accept all deposits. Banco Popular de Puerto Rico, entered into separate agreements to transfer deposits and assets in specific markets to Banco Popular North America, New York, NY, FirstBank Puerto Rico, Santurce, PR, and Centennial Bank, Conway, AR."
29," Atlanta, GA",Capitol City Bank & Trust Company,PR-016-2015,13-Feb-15,272.3,262.7,First-Citizens Bank & Trust Company has agreed to assume all deposits.
30," Chicago, IL",Highland Community Bank,PR-007-2015,23-Jan-15,54.7,53.5,"United Fidelity Bank, fsb has agreed to assume all deposits."
31," Crestview, FL",First National Bank of Crestview,PR-006-2015,16-Jan-15,79.7,78.6,First NBC Bank has agreed to assume all deposits.
32," Mankato, MN",Northern Star Bank,PR-112-2014,19-Dec-14,18.8,18.2,BankVista has agreed to assume all deposits.
